 data : 1 3 6 11 24 30 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 3 12 20 24 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 3 12 21 24 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 3 13 20 24 30 , kpi : 5, rept: 1 2 2 5, cover: 23 30 32 33
  data : 1 3 13 21 24 30 , kpi : 5, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 3 14 20 24 30 , kpi : 5, rept: 1 2 3 6, cover: 23 30 32 33
  data : 1 3 14 21 24 30 , kpi : 5, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 3 19 20 24 32 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 3 19 21 24 32 , kpi : 5, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 3 20 22 24 32 , kpi : 5, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 3 20 23 24 32 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 3 20 24 30 32 , kpi : 5, rept: 1 2 2 4, cover: 23 30 32 33
  data : 1 3 21 24 30 32 , kpi : 5, rept: 1 2 2 3, cover: 23 30 32 33
  data : 1 5 8 24 27 30 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 5 8 24 28 30 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 5 8 24 29 30 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 5 8 24 30 31 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 5 10 23 24 32 , kpi : 5, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 5 12 17 24 30 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 5 12 18 24 30 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 5 12 19 24 28 , kpi : 6, rept: 1 2 5 5, cover: 23 30 32 33
  data : 1 5 12 19 24 29 , kpi : 6, rept: 1 2 5 5, cover: 23 30 32 33
  data : 1 5 12 19 24 30 , kpi : 6, rept: 1 2 5 6, cover: 22 30 32 33
  data : 1 5 12 19 24 31 , kpi : 6, rept: 1 2 5 5, cover: 23 30 32 33
  data : 1 5 12 22 24 28 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 5 12 22 24 29 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 5 12 22 24 30 , kpi : 6, rept: 1 2 4 6, cover: 22 30 32 33
  data : 1 5 12 22 24 31 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 5 12 23 24 28 , kpi : 6, rept: 1 2 5 5, cover: 23 30 32 33
  data : 1 5 12 23 24 29 , kpi : 6, rept: 1 2 5 5, cover: 23 30 32 33
  data : 1 5 13 17 24 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 5 13 18 24 30 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 5 13 19 24 28 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 5 13 19 24 29 , kpi : 5, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 5 13 19 24 30 , kpi : 6, rept: 1 2 4 6, cover: 22 30 32 33
  data : 1 5 13 19 24 31 , kpi : 5, rept: 1 2 4 5, cover: 23 30 32 33
